,Source_Image,Altitude,Pitch,u,v,Reference_Point_ID,Prj_Error_Easting,Prj_Error_Northing,Prj_Error,Flat_Error_Easting,Flat_Error_Northing,Flat_Error,delta,gamma,tan_beta,tan_alpha
511,DJI_0087.JPG,30,15,3208,2725,RR_1,-6.328,2.532,6.815761733,-6.218,2.452,6.683997905,-0.162972746,0.261799388,0.125064974,0.160080176
512,DJI_0087.JPG,30,15,4997,1573,GCP_5,-8.78,-8.821,12.44582022,-7.45,-10.021,12.48691079,0.088746052,0.261799388,0.51862916,0.662295399
513,DJI_0088.JPG,30,15,3259,3622,RR_1,-5.198,2.612,5.817366071,-5.168,2.712,5.836365993,-0.347102539,0.261799388,0.136284524,0.161311361
514,DJI_0088.JPG,30,15,5162,2347,GCP_5,-6.64,-8.891,11.09682301,-6.18,-9.601,11.4180384,-0.081102369,0.261799388,0.554927701,0.592957087
515,DJI_0088.JPG,30,15,3109,394,RR_2,-9.937,0.738,9.964367165,-6.707,1.008,6.782323569,0.335186261,0.261799388,0.10328585,0.691098415
516,DJI_0089.JPG,30,15,3143,1041,RR_2,-7.277,1.388,7.40818959,-5.417,1.438,5.604617115,0.203164141,0.261799388,0.110765549,0.51672544
517,DJI_0090.JPG,30,15,3183,1805,RR_2,-5.387,1.748,5.663503597,-4.617,1.668,4.909064371,0.037927442,0.261799388,0.119565195,0.333414141
518,DJI_0091.JPG,30,15,3225,2584,RR_2,-3.647,2.158,4.237637667,-3.477,2.068,4.045510227,-0.132631442,0.261799388,0.128804824,0.183690779
519,DJI_0092.JPG,30,15,3253,3602,RR_2,-3.297,1.918,3.814306359,-3.267,2.028,3.845266311,-0.343206686,0.261799388,0.134964577,0.158092462
520,DJI_0092.JPG,30,15,4661,485,GCP_1,-7.988,-3.672,8.791571418,-4.468,-5.132,6.804443254,0.317224805,0.261799388,0.44471213,0.842449306
521,DJI_0093.JPG,30,15,4782,1134,GCP_1,-5.368,-3.212,6.255586943,-3.298,-4.442,5.532464912,0.18346223,0.261799388,0.47133106,0.707453049
522,DJI_0094.JPG,30,15,4898,1913,GCP_1,-6.668,-3.792,7.670820556,-5.778,-4.662,7.42425269,0.014187417,0.261799388,0.496850035,0.588957554
523,DJI_0095.JPG,30,15,4988,2876,GCP_1,-2.638,-3.832,4.652232582,-2.528,-4.082,4.801406877,-0.195132311,0.261799388,0.516649239,0.522086215
524,DJI_0096.JPG,30,15,5109,3778,GCP_1,-4.178,-6.172,7.453138131,-4.228,-5.642,7.050400556,-0.377109086,0.261799388,0.543268169,0.559030158
525,DJI_0097.JPG,30,15,1533,3146,GCP_1,0.092,-3.792,3.79311587,0.102,-3.812,3.813364394,-0.251593918,0.261799388,-0.243420218,0.243646739
526,DJI_0097.JPG,30,15,3474,215,RR_2,3.893,1.758,4.271535204,0.173,1.148,1.160962101,0.369862892,0.261799388,0.183582623,0.766209199
527,DJI_0098.JPG,30,15,3332,920,RR_2,1.943,1.848,2.681483358,-0.157,1.678,1.685328751,0.228558419,0.261799388,0.152343878,0.561085099
528,DJI_0098.JPG,30,15,495,309,RR_3,3.336,5.214,6.189886267,1.296,1.394,1.903379101,0.351763103,0.261799388,-0.471771042,0.91043751
529,DJI_0099.JPG,30,15,3332,1723,RR_2,0.343,1.878,1.909066002,-0.537,1.948,2.020661525,0.055925188,0.261799388,0.152343878,0.365884656
