Image,u,v
DJI_0907.JPG,4138,365
DJI_0907.JPG,4012,152
DJI_0907.JPG,4012,282
DJI_0907.JPG,4103,171
DJI_0907.JPG,4044,371
DJI_0907.JPG,4011,364
DJI_0907.JPG,4090,289
DJI_0907.JPG,4297,13
DJI_0907.JPG,4041,174
DJI_0907.JPG,4158,67
DJI_0907.JPG,4196,68
DJI_0907.JPG,4180,15
DJI_0907.JPG,4059,77
DJI_0907.JPG,4076,195
DJI_0907.JPG,4108,67
DJI_0907.JPG,4197,141
DJI_0907.JPG,4110,476
DJI_0907.JPG,4285,248
DJI_0907.JPG,4016,548
DJI_0907.JPG,4143,190
DJI_0907.JPG,4205,182
DJI_0907.JPG,726,827
DJI_0907.JPG,1566,1196
DJI_0907.JPG,1548,1173
DJI_0907.JPG,3167,881
DJI_0907.JPG,3140,880
DJI_0907.JPG,3052,851
DJI_0907.JPG,3177,822
DJI_0907.JPG,3113,819
DJI_0907.JPG,3172,899
DJI_0907.JPG,3090,824
DJI_0907.JPG,3140,911
DJI_0907.JPG,3184,927
DJI_0907.JPG,3254,829
DJI_0907.JPG,3849,832
DJI_0907.JPG,3291,940
DJI_0907.JPG,3628,901
DJI_0907.JPG,3804,832
DJI_0907.JPG,3697,861
DJI_0907.JPG,3495,860
DJI_0907.JPG,3423,992
DJI_0907.JPG,3323,961
DJI_0907.JPG,3321,844
DJI_0907.JPG,3329,1039
DJI_0907.JPG,3221,847
DJI_0907.JPG,3664,910
DJI_0907.JPG,3421,953
DJI_0907.JPG,3371,836
DJI_0907.JPG,3687,899
DJI_0907.JPG,3435,837
DJI_0907.JPG,3385,969
DJI_0907.JPG,3298,1022
DJI_0907.JPG,3819,881
DJI_0907.JPG,3517,988
DJI_0907.JPG,3299,1148
DJI_0907.JPG,3254,877
DJI_0907.JPG,3487,833
DJI_0907.JPG,3482,815
DJI_0907.JPG,3252,1067
DJI_0907.JPG,3664,819
DJI_0907.JPG,3307,852
DJI_0907.JPG,3731,849
DJI_0907.JPG,3389,929
DJI_0907.JPG,3620,816
DJI_0907.JPG,3776,827
DJI_0907.JPG,3255,909
DJI_0907.JPG,3644,872
DJI_0907.JPG,3560,818
DJI_0907.JPG,3327,880
DJI_0907.JPG,3489,971
DJI_0907.JPG,3721,815
DJI_0907.JPG,3240,1047
DJI_0907.JPG,3343,939
DJI_0907.JPG,3749,852
DJI_0907.JPG,3387,837
DJI_0907.JPG,3270,1118
DJI_0907.JPG,3499,948
DJI_0907.JPG,3460,878
DJI_0907.JPG,3805,889
DJI_0907.JPG,3326,906
DJI_0907.JPG,3793,900
DJI_0907.JPG,3576,818
DJI_0907.JPG,3349,991
DJI_0907.JPG,3288,997
DJI_0907.JPG,3782,867
DJI_0907.JPG,3225,923
DJI_0907.JPG,3438,882
DJI_0907.JPG,3544,852
DJI_0907.JPG,3322,1076
DJI_0907.JPG,3404,893
DJI_0907.JPG,3750,813
DJI_0907.JPG,3537,948
DJI_0907.JPG,3281,892
DJI_0907.JPG,3290,1106
DJI_0907.JPG,3301,994
DJI_0907.JPG,3362,903
DJI_0907.JPG,3385,823
DJI_0907.JPG,3762,837
DJI_0907.JPG,3226,1038
DJI_0907.JPG,3274,1028
DJI_0907.JPG,3378,873
DJI_0907.JPG,3241,868
DJI_0907.JPG,3336,1091
DJI_0907.JPG,3409,910
DJI_0907.JPG,3358,892
DJI_0907.JPG,3620,886
DJI_0907.JPG,3589,896
DJI_0907.JPG,3513,1063
DJI_0907.JPG,3473,933
DJI_0907.JPG,3753,886
DJI_0907.JPG,3373,964
DJI_0907.JPG,3395,843
DJI_0907.JPG,3761,860
DJI_0907.JPG,3659,863
DJI_0907.JPG,3500,875
DJI_0907.JPG,3454,980
DJI_0907.JPG,3318,1030
DJI_0907.JPG,3289,836
DJI_0907.JPG,3472,884
DJI_0907.JPG,3412,864
DJI_0907.JPG,3334,949
DJI_0907.JPG,3474,841
DJI_0907.JPG,3211,898
DJI_0907.JPG,3363,958
DJI_0907.JPG,3809,819
DJI_0907.JPG,3486,906
DJI_0907.JPG,3421,973
DJI_0907.JPG,3260,965
DJI_0907.JPG,3226,1059
DJI_0907.JPG,3517,915
DJI_0907.JPG,3759,824
DJI_0907.JPG,3288,815
DJI_0907.JPG,3540,930
DJI_0907.JPG,3276,935
DJI_0907.JPG,3339,970
DJI_0907.JPG,3434,946
DJI_0907.JPG,3491,885
DJI_0907.JPG,763,2060
DJI_0907.JPG,695,2090
DJI_0907.JPG,547,2078
DJI_0907.JPG,663,2124
DJI_0907.JPG,753,2002
DJI_0907.JPG,772,1963
DJI_0907.JPG,726,1979
DJI_0907.JPG,734,2156
DJI_0907.JPG,662,2075
DJI_0907.JPG,748,1929
DJI_0907.JPG,782,2015
DJI_0907.JPG,681,2182
DJI_0907.JPG,782,2093
DJI_0907.JPG,745,2114
DJI_0907.JPG,609,1962
DJI_0907.JPG,707,2100
DJI_0907.JPG,586,1981
DJI_0907.JPG,561,2081
DJI_0907.JPG,744,2139
DJI_0907.JPG,787,1994
DJI_0907.JPG,530,1873
DJI_0907.JPG,814,1989
DJI_0907.JPG,858,1992
DJI_0907.JPG,823,1980
DJI_0907.JPG,870,2002
DJI_0907.JPG,832,2060
DJI_0907.JPG,874,2043
DJI_0907.JPG,854,2052
DJI_0907.JPG,842,1981
DJI_0907.JPG,1259,3021
DJI_0907.JPG,1252,2957
DJI_0907.JPG,1291,3027
DJI_0907.JPG,1329,2983
DJI_0907.JPG,1215,3028
DJI_0907.JPG,1316,3009
DJI_0907.JPG,1320,2996
DJI_0907.JPG,1247,3031
DJI_0907.JPG,1310,2981
DJI_0907.JPG,1297,2971
DJI_0907.JPG,1221,2954
DJI_0907.JPG,2465,2853
DJI_0908.JPG,518,710
DJI_0908.JPG,418,661
DJI_0908.JPG,491,686
DJI_0908.JPG,512,776
DJI_0908.JPG,352,750
DJI_0908.JPG,453,644
DJI_0908.JPG,548,731
DJI_0908.JPG,496,716
DJI_0908.JPG,380,707
DJI_0908.JPG,416,729
DJI_0908.JPG,396,763
DJI_0908.JPG,326,691
DJI_0908.JPG,504,700
DJI_0908.JPG,448,705
DJI_0908.JPG,308,738
DJI_0908.JPG,469,758
DJI_0908.JPG,436,731
DJI_0908.JPG,370,744
DJI_0908.JPG,458,733
DJI_0908.JPG,356,736
DJI_0908.JPG,472,746
DJI_0908.JPG,528,785
